segment,mape,count
<$200K,0.4695571424428655,34
$200K-$400K,0.1502125298184104,317
$400K-$600K,0.15952864183168783,283
$600K-$800K,0.14288244929107585,147
$800K-$1M,0.14694017744370674,57
$1M-$2M,0.19116005473377667,63
>$2M,0.30557972263096167,9
