segment,mape,count
<$200K,0.4633224959954068,34
$200K-$400K,0.14800714110102517,317
$400K-$600K,0.1607845925936117,283
$600K-$800K,0.1442878414424725,147
$800K-$1M,0.14815214689264697,57
$1M-$2M,0.1972017702354061,63
>$2M,0.30535529051018656,9
